Type,Operator,Registration
Douglas DC-3,TACA,YV-C-AZU
Douglas DC-3,Philippine Air Lines,PI-C270
Curtiss C-46F-1-CU,US Airlines,N1911M
Martin 202,Japan Air Lines,N93043
Douglas C-47A,Kalinga Airlines,VT-DFN
Douglas DC-4,Pan American World Airways,N88899
Curtiss C-46F-1CU,North Continental Airlines (Robin Airlines),N8404C
Curtiss C-46D,Aviateca,TG-AQA
Boeing 377-10-26 Stratocruiser,Pan American World Airways,N1039V
Douglas DC-3,Deccan Airways,VT-AUN
Douglas C-47A,Fred Olsen Flyveselskap,LN-NAD
Douglas DC-3,Garuda Indonesia Airlines,PK-DPA
Douglas DC-3,VASP,PP-SPM
Curtiss C-46A,Loide A̩reo Nacional,PP-LDE
Handley Page HP-81 Hermes IV,British Overseas Airways,G-ALDN
Douglas DC-3,Swedish Air Force,79001
Boeing B-50,Military - U.S. Air Force,
Avro Shackleton MR-1,Military - Royal Air Force,VP261
Boeing 377 Stratocruiser,Pan American World Airways,N1030V
Douglas DC-3,Transportes Areos Nacionales,PP-ANH
Handley Page HP-81 Hermes 4A,Airwork,G-ALDF
Bristol 170 Freighter,Military - Pakistan Air Force,G783
Douglas DC-2-115B,Phoenix Airlines,ZS-DFW
de Havilland 110,Private - de Havilland Aircraft,WG235
Curtiss C-46,SAM Colombia,
Boeing B-29,Military - U.S. Air Force,44-87741
Douglas C-47A,Kalinga Airlines,VT-CGB
Avro Shackleton MR-1,Military - Royal Air Force,VP286
Douglas DC-3,REAL,PP-AXJ
Curtiss-Wright C-46D-CU,Military - U.S. Air Force,44-77538
Boeing KC-97G Stratofreighter,Military - U.S. Air Force,52-2711
Douglas C-54B-1-DC,Union Aeromaritime de Transport,F-BFVO
Fairchild C-119C,Military - U.S. Air Force,51-2560A
Fairchild C-119C,Military - U.S. Air Force,51-2551A
Fairchild C-119C,Military - U.S. Air Force,51-2570
Fairchild C-119C-23-FA Flying Boxcar,Military - U.S. Air Force,
Douglas C-124A Globemaster,Military - U.S. Air Force,51-107A
Douglas C-54G (DC-4),Military - U.S. Air Force,
Lisunov Li-2,TABSO,
Douglas DC-4,Cubana de Aviacion,CU-T397
Douglas C-124A Globemaster,Military - U.S. Air Force,50-100
Curtiss C-46D,Rutas A̩reas Nacionales SA,YV-C-ARC
Douglas DC-3,Avensa,YV-C-AVX
Douglas DC-3,Iran Air,EP-ACJ
Douglas DC-3,Philippine Air Lines,PI-C38
Vickers Viking 610-1B,British European Airways,G-AJDL
Cessna 402,Avia-Taxi,F-BPJA
Curtiss C-46,Associated Air Transport,N1648M
Vickers Valetta Mk1 / Avero Lancaster,Military -Royal Air Force,VX562 / TX270
Douglas DC-3,Linee Aeree Italiane,I-LAIL
Avro 685 York 1,Lancashire Aircraft Corporation (Skyways),G-AHFA
Douglas DC-3,Air Outremer,F-OAFR
Douglas DC-4,Autrex,F-BFGR
Curtiss-Wright C-46,Military - Egyptian Air Force,1001
Douglas DC-6,National Airlines,N90893
de Havilland DH106 Comet 1A,Canadian PacifiAir Lines,CF-CUN
Curtiss C-46F,Slick Airways,N4717N
Convair CV-240-7,Orient Airways,AP-AEG
Douglas DC-3,Aigle Azur,F-BEFG
Convair RB-36H,Military - U.S. Air Force,51-13721A
Douglas DC-4  (C-54-10-DO),Transocean Air Lines,N88942
de Havilland DH-114 Heron 1B,Transportes A̩reos Salvador,PP-SLG
Vickers 616 Viking 1B,Central African Airways,VP-YEY
Lockheed 18-56 LodeStar,Caribbean International Airways,VP-JBC
Junkers JU-5/-3m,Air France,F-BALE
Douglas C-47A,Airways,VT-AUJ
Douglas DC-3 (C-47-DL),Miami Airlines,N65743
Douglas DC-3,Aigle Azur,F-BESS
Douglas DC-6B,Western Airlines,N91303
de Havilland DH106 Comet 1,British Overseas Airways,G-ALYV
Vickers Valetta T-3,Military - Royal Air Force,WG258
Douglas DC-3,Air India,VT-AUD
Consolidated PBY-5A Catalina,Canadian PacifiAir Lines,CF-CRV
Douglas DC-3,Delta Air Lines,N28345
Convair CV-240-4,KLM Royal Dutch Airlines,PH-TEI
Lockheed 18 Loadstar,LAN,CC-CLD-0100
Douglas DC-3,LACSA,TI-1002
Douglas DC-3,Aigle Azur,F-BEST
Lockheed 049-46-21 Constellation,Panair do Brasil,PP-PDA
Douglas C-124A Globemaster II,Military - U.S. Air Force,51-137A
Douglas DC-6A,Transocean Air Lines,N90806
Fairchild R4Q-2,Military - U.S. Navy,131663
Ilyushin IL-12,Aeroflot,
Avro 685 York C-1,Associated Airways,CF-HMV
Lockheed L- 749A Constellation,Air France,F-BAZS
Douglas DC-3,Orient Airways,AP-AAD
Boeing B-34,Military - U.S. Air Force,
Curtiss C-46A,Aerovias Contreras,XA-GOT
Lockheed 749A Constellation,Air France,F-BAZZ
Douglas DC-3,Regina Cargo Airlines,N19941
Douglas C-47A,TACA,XH-TAR
Douglas C-47A,Transportes A̩reos Mexicanos,XA-GIC
Convair CV-240-0,American Airlines,N94255
Douglas DC-3,Devlet Hava Yollari,TC-EGE
Curtiss C-46F-1-CU,Resort Airlines,N66534
Convair CV-240-12,Sabena,OO-AWQ
Douglas C-47B,Compagnie Sila,F-VNAE
Douglas C-46A-CU ( DC-3),Aerovias Contreras,XA-GOT
Lockheed 749A Constellation,Eastern Air Lines,N119A
Douglas DC-6,British Commonwealth PacifiAirlines,VH-BPE
Douglas DC-3,Lloyd Aereo Boliviano,CP-600
Avro Shackleton MR-2,Military - Royal Air Force,WL746
Bristol 170 Freighter 21,Aviaco,EC-AEG
Douglas DC-3,Indian Airlines,VT-CHF
Convair CV-240,Sabena,OO-AWO
Douglas DC-3,Syrian Airways,YK-AAF
Douglas DC-3,Ariana Afghan Airlines,
Douglas DC-3,Devlet Hava Yollari,TC-BAG
Vickers Valetta,Military -Royal Air Force,WJ474
de Havilland DH106 Comet 1,British Overseas Airways,G-ALYP
Douglas DC-3,AVIANCA,HK-160
F-88 Sabre Jet,Military - U.S. Air Force,
Douglas DC-6,Philippine Air Lines,PI-C294
Douglas DC-3 (C-47A-DK),Ceskoslovenske Aerolinie,OK-WDS
Douglas DC-3A,Zantop Air Transport,N49551
Curtiss-Wright C46D-CU,Military - U.S. Air Force,44-78027A
Douglas C-47,Military - U.S. Air Force,5895
Avro Shackleton MR-2,Military - Royal Air Force,WL794
Douglas DC-3,Indian Airlines,VT-ATU
Convair CV-240,Western Airlines,N8407H
Douglas C-47A-DL,Military - U.S. Air Force,42-24096A
Lockheed 749A-79-33 Constellation,British Overseas Airways,G-ALAM
Douglas C-47A,Queensland Airlines,VH-BBV
Fairchild C-110F,Military - U.S. Air Force,51-7993
Douglas DC-3,Aeronaves de Mexico,XA-GUN
Douglas DC-3,Devlet Hava Yollari,TC-ARK
Douglas C-54A,Autrex,F-BFGQ
de Havilland DH106 Comet 1,British Overseas Airways,G-ALYY
Canadair C-4-1Argonaut / Harvard Mark II,Trans Canada Air Lines / RCAF,CF-TFW/RCAF3309
Douglas DC-3,LAN,956
Lockheed 18 Lodestar,Societe Indochinoise de Raviteillement,F-OALK
Douglas DC-3,Aerolineas Argentinas,LV-ACX
Douglas C-47A-30-DK,Darbhanga Aviation,VT-DEM
Douglas DC-3,New Zealand National Airways,ZK-AQT
Douglas DC-3,Transportes Aereos Nacionales,PP-ANO
Douglas C-47A,Sabena,OO-CBY
Curtiss C-46A,Varig,PP-VBZ
Douglas C-47-DL,Soc. de Tr. A̩riens d'Extr̻me Orient,F-BCCL
Convair CV-240-4,Swissair,HB-IRW
Lockheed C-28,Military - Brazilian Air Force,C-28-2901
Douglas DC-4,Cathay PacifiAirways,VR-HEU
Douglas DC-2,Alaska Airlines,N91008
Lockheed 749A-79 Constellation,AVIANCA,HK-163
Douglas DC-3,Autrex,F-BSGS
Bristol 170 Freighter 21E,Air Vietnam (South Vietnam),F-VNAI
Douglas DC-3,Braniff Airlines,N61451
Douglas DC-6B,KLM Royal Dutch Airlines,PH-DFO
Douglas C-47A,British European Airways,G-AGHP
Convair RB-36H,Military - U.S. Air Force,51-13722
Lockheed 1049C-55-81 S Constellation,KLM Royal Dutch Airlines,PH-LKY
Douglas DC-3,Cruzeiro,PP-CDJ
Vickers 634 Viking,Misrair,SU-AFO
Douglas C-47A-DL,Military - U.S. Air Force,43-16044
Lockheed R7V-1,Military - U.S. Navy,128441
Lockheed R-7V1,Military - U. S. Navy,128441
Vickers 720 Viscount,TAA,VH-TVA
Douglas DC-3,TAM (Brazil),FAP-403
Douglas DC-3,Northeast Airlines,N17891
Douglas DC-3,Air Laos,F-BEIA
Douglas C-47A,Ceskoslovensk̩ Aerolinie,OK-WDK
Douglas C-47A,Linea Aeropostal Venezolana,YV-C-AMP
Douglas DC-6B,Linee Aeree Italiane,I-LINE
Douglas DC-3,Johnson Flying Service,N24320
Boeing B377-10-28 Stratocruiser,British Overseas Airways,G-ALSA
,Aeroflot,
Ilyushin 14,Aeroflot,
Avro Shackleton M-2 / Avro Shakleton M-2,Military -Royal Air Force,WG531 / Wl743
Martin 202A / DC-3,Trans World Airlines / Castleton Inc.,N93211/N999B
Convair CV-340,United Air Lines,N73154
Consolidated PBY-5 Catalina,Interamericana de Aviacion,HK-1000E
Douglas DC-3,Indian Airlines,VT-CVB
Bristol 170 Freighter 21E,West African Airways,VR-NAD
Douglas DC-6,Sabena,OO-SDB
Martin 404,Trans World Airlines,N40416
Douglas DC-3,Central African Airways,VP-YKO
Douglas DC-3,REAL,PP-YPZ
Douglas DC-3,Mexicana,XA-DIK
Douglas C-47A,AVIANCA,HK-328
Convair CV-240-0,American Airlines,N94234
Douglas R6D-1 (C-118B),Military - U.S. Navy,131612
Boeing 377 Stratocruiser 10-26,Pan American World Airways,N1032V
Curtiss C-46A,Aaxico Airlines,N51424
Douglas DC-6,United Air Lines,N37512
Lockheed 749A Constellation,Air India,VT-DEP
de Havilland DH-114 Heron 1B,Union des Transportes Aeriens,F-BGOI
Douglas DC-3,East African Airways,VP-KKH
Douglas C-47-DL,Linea Aeropostal Venezolana,YV-C-ALU
Avro 685 York C-1,Associated Airways,CF-HMY
Douglas C-54A,Union A̩romaritime de Transport,F-BFVT
Lockheed 049-46-21 Constellation,Panair do Brasil,PP-PDJ
Curtiss C-46,Tigres Voladores,XA-LID
Douglas DC-2-243,Lineas Areas Unidas,XA-DOB
Convair CV-340-32,Braniff Airlines,N3422
Lockheed 049 Constellation,El Al,4X-AKC
Convair CV-240-0,American Airlines,N94221
,Aeroflot,
Fairchild C119G / Fairchild C119G,Military - U.S. Air Force / Military - U.S. Air Force,53-3222/53-7841
Douglas DC-3,Cruzeiro,PP-CBY
Douglas C-47A,Kalinga Airlines,VT-AZX
Douglas DC-3,Union of Burma Airways,XY-ACQ
Douglas DC-3,Currey Air Transport,N74663
Latecoere 631,Societe France Hydro,F-BDRE
Bristol 170 Freighter 31,PacifiWestern Airlines,CF-GBT
Canadair C-4,British Overseas Airways,G-ALHL
Douglas C-54A,Flying Tiger Line,N90433
Douglas C54A,Faucett,OB-PAZ-228
Douglas DC-4,United Air Lines,N30062
Convair CV-340-58,JAT Yugoslav Airlines,YU-ADC
Douglas DC-6B,United Air Lines,N37559
Douglas C-54,Peninsular,N88852
Douglas MC-54M,Military - U.S. Air Force,44-9068
Douglas C124-DL Globemaster II,Military - US Air Force,51-0149
Boeing RB-52B,Military - U.S. Air Force,52-8716
Douglas DC-3,Cruzeiro,PP-CCC
Curtiss C-46A,Riddle Airlines,N9904F
Douglas DC-3,Cruzeiro Do Sud,
Lockheed 749C-79-12 Constellation,Eastern Air Lines,N112A
Douglas C-47,Ansett ANA,VH-BZA
Douglas DC-3,Quebecair,CF-GVZ
Douglas DC-3,Ceskoslovenske Aerolinie,OK-WDZ
Douglas C-47,Air France,F-BCYK
Bristol 170 Freighter 31,Maritime Central Airways,CF-FZU
Douglas C-47-DL,Spartan Air Services,CF-BZH
Douglas R5D2,Military - U.S. Marine Corps,39116
Avro 685 York C-1,Scottish Airlines,G-ANSY
Douglas DC-6B,Transport Aerien Intercontinentaux (France),F-BGOD
Douglas DC-3,Syrian Airways,YK-AAE
Douglas C-47B,Pakistan International Airlines,AP-ACZ
Douglas DC-3,Indian Airlines,VT-CGN
Douglas C-47B,Starways,G-AMRB
Douglas C-47A,National Air Operators,VT-DCM
Douglas C-47A,Military - Royal Thai Air Force,
Martin 404,Trans World Airlines,N40403
Boeing 377 Stratocruiser 10-30,Northwest Orient Airlines,N74608
Aero Commander  520,Cordova Airlines,B5386N
Consolidated PBY-5A Catalina,Panair do Brasil,PP-PDB
Avro 685 York C-1,Scottish Airlines,G-AMUL
Douglas DC-3,Indian Airlines,VT-DBA
CF-100 Mark V,Military - Royal Canadian Air Force,
Douglas DC-3,Aviateca,TG-AHA
Lockheed 1049E-55 Super Constellation,Linea Aeropostal Venezolana,YV-C-AMS
Canadair C-4 Argonaut,British Overseas Airways,G-ALHE
Douglas DC-7 / Lockheed S Constellation,United Air Lines / Trans World Airlines,N6902C/N6324C
Vickers Viscount,Trans Canada Air Lines,CF-TGR
Douglas C-118A,Military - U.S. Air Force,53-3301A
Douglas DC-3,Aerolineas Argentinas,LV-ACD
Douglas DC-3,Union of Burma Airways,XY-ADC
Douglas DC-6B,Canadian PacifiAir Lines,CF-CUP
Curtiss C-46A-45-CU,Jordan International Airlines,JY-ABV
Douglas DC-3 / Cessna 170B,Continental Airlines,N33315 / N8143A
Stinson AT-19,Alaska Airlines,N 79069
Douglas C188-B,Military - U.S. Navy,1311588
Boeing  377 Stratocruiser,Pan American World Airways,N90943
Douglas DC-3,Indian Airlines,VT-DGK
Curtiss C-46,Military - Egyptian Air Force,SU-AAB
Handley Page HP-1 Hermes,Britavia,G-ALDJ
de Havilland DH-114 Heron 2B,Braathens,LN-SUR
Douglas C-54A-10-DC,Aerovias Guest,XA-HEG
Douglas C-47A,Varig,PP-VCS
Douglas DC-3,Empresa Aviacion del Pacifico,HK-385
Ilyushin IL-12B,Ceskoslovenske Aerolinie,OK-DBP
Douglas DC-6B,Linee Aeree Italiane,I-LEAD
Lockheed 749-79-34 Constellation,Linea Aeropostal Venezolana,YV-C-AMA
Consolidated PBY-5A Catalina,AIDA,HK-133
Canadair DC-4M-2 Northstar,Trans Canada Air Lines,CF-TFD
Vickers 708 Viscount,Air France,F-BGNK
Convair CV-340-58,JAT Yugoslav Airlines,YU-ADA
Douglas DC-3,Linee Aeree Italiane,I-LINC
Lockheed C-121C Super Constellation,Military - U.S. Air Force,54-0165
Convair CV-240-0,American Airlines,N94247
Vickers 615 Viking 1B,Fuerza A̩rea Argentina,T-11
Douglas DC-3,Lanica,AN-AEC
SNCASE SE.2010 Armagnac,Air France,F-BAVG
Douglas DC-7B / U.S. Air Force F-89J,Douglas Aircraft,N8210H/52-187OA
Douglas DC-6A,Northeast Airlines,N34954
Douglas C-124C,Military - U.S. Air Force,51-141A
Douglas C-54B,Alaska Airlines,N90449
Blackburn Beverley C Mark 1,Military -Royal Air Force,XH117
Douglas DC-3,AVIANCA,HK-155
Vickers Viscount 701,British European Airways,G-ALWE
Douglas C-47 Skytrain,Military - Philippine Air Force,PI-C-
Douglas DC-3,Lloyd Aereo Boliviano,CP-535
Boeing C-97C,Military - U.S. Air Force,50-702A
Curtiss C-46A-45-CU,Varig,PP-VCF
Douglas DC-3,Air France,F-BEIK
Douglas DC-3,REAL,PP-ANX
Consolidated B-24J,Transportes A̩reos Mexicanos,XA-KUN
Vickers Valetta C-Mk.1,Military -Royal Air Force,VW832
Lockheed Super Constellation,Air France,F-BGNE
Vickers Viking 1B,Eagle Aviation,G-AJBO
Douglas C-47A,Indian Airlines,VT-AUV
Bristol 170 Freighter,Aviaco,EC-ADI
Vickers 615 Viking 1B,Lineas Aereas del Estado,T-3
Douglas DC-4,U.S. Overseas Airways,N68736
Douglas DC-3,Indian Airlines,VT-CFB
Ilyushin P-14,LOT Polish Airlines,SP-LNF
Douglas C-47B,Swissair,HB-IRK
Douglas C-47A,Capital Airlines,N88835
Douglas DC-3,Queen Charlotte Airlines,CF-EPI
Douglas DC-3,Pakistan International Airlines,AP-AJS
Lockheed 1049C Super Constellation,KLM Royal Dutch Airlines,PH-LKT
Convair CV-240,Western Airlines,N8405H
Douglas DC-4,Maritime Central Airways,CF-MCF
Ilyushin IL-14P,Aeroflot,CCCP-L1874
Douglas DC-3,Indamer,VT-ARH
Douglas DC-3,Sahsa Airlines,XH-SAF
Douglas DC-3,Avensa,YV-C-AVG
Douglas DC-3,Northeast Airlines,N33417
Convair CV-440-62,REAL,PP-AQE
de Havilland DH-114 Heron,British European Airways,G-AOFY
Curtiss C-46A-45-CU,Lebanese International Airways,OD-ACK
Vickers 802 Viscount,British European Airways,G-AOJA
Douglas DC-3,Iberia Airlines,EC-ACH
Fairchild C-82A,Transportes Aereos Mexicanos,XA-LIW
Bristol Britannia 175,Bristol Aeroplane Co.,G-ANCA
Boeing - 377-10-29 Stratocruiser,Pan American World Airways,N90944
de Havilland DH-114 Heron 2D,Aviaco,EC-ANZ
Short Solent 3 (flying boat),Aquilla Airways,G-AKNU
Bristol 170 Freighter 31,Straits Air Freight Express,ZK-AYH
Douglas DC-4,Aerolineas Argentinas,LV-AHZ
Douglas C-47A,Northern Wings,CF-GKV
de Havilland Canada DHC-3 Otter,Philippine Air Lines,
Avro 685 York C-1,Scottish Airlines,G-AMUN
Lockheed WV-2,Military - U.S. Navy,143197
Short Sunderland,Aerolineas Argentinas,LV-AAR
Fairchild C-82A,Cruzeiro,PP-CEF
Douglas DC-3,TAM (Bolivia),TAM-04
Douglas DC-4,Loide A̩reo Nacional,PP-LEM
Convair CV-240-7,Pakistan International Airlines,AP-AEH
Douglas C-118A / Lockheed P2V-5F,Military - U.S.  Air Force / Military - U.S. Navy,53-3277A/127723
Airspeed Ambassador A5-57,British European Airways,G-ALZU
Consolidated PBY-5A  Catalina,R̩seau A̩rien Interinsulaire,F-AOVV
Lockheed WV-2,Military - U.S. Navy,BU-141310
Bristol 170 Freighter 21,Silver City Airways,G-AICS
Fairchild R4Q / Dougas AD-6 skyraider,Military - U.S. Marine Corps/Military - U.S. Marine Corps,129741/135350
Vickers 628 Viking 1B,Misrair,SU-AGN
Lockheed 18 Lodestar,Private,N300E
Douglas DC-3,Indian Airlines,VT-CYN
Douglas DC-7-C,Braniff Airlines,N5904
Douglas C-124C / Fairchild C-119C,Military - U.S. Air Force/Military - U.S. Air Force,52-981A/49-195A
Junkers JU-52/3m,Transportes Aereos Orientales,HC-SND
Vickers Viscount 745D,Capital Airlines,N7437
Douglas DC-3,AREA,HC-ACL
de Havilland DH-114 Heron 2D,Aviaco,EC-ANJ
Douglas DC-7 / F-100F,United Air Lines / Military - U.S. Air Force,N6328C/56-3755
Douglas DC-7C,Sabena,OO-SFA
Vickers Viscount 745D / T-33A,Capital Airlines / Military - Air National Guard,N7410/53-5966
Avro 685 York C-1,Dan-Air Services,G-AMUV
Douglas DC-3,Air France,F-BHKV
Curtiss C-46D,Paraense Transportes A̩reos,PP-BTB
Boeing 377 Stratocruiser 10-26,Pan American World Airways,N1023V
Lockheed 749A Constellation,Aeronaves de Mexico,XA-MEV
Douglas DC-3,Capital Airlines,N49553
Convair CV-440-59,Cruzeiro,PP-CEP
Douglas C-47A,Indian Airlines,VT-COJ
Boeing KC-135A,Military - U.S. Air Force,56-3599A
Douglas C-47A,Indian Airlines,VT-CYM
Vickers Viscount 748D,Central African Airways,VP-YNE
Douglas DC-3,All Nippon Airways,JA5045
Douglas DC-4,LANSA,PP-LEQ
Lockheed 1049H Super Constellation,KLM Royal Dutch Airlines,PH-LKM
Convair CV-240-2,Northeast Airlines,N90670
Tupolev TU-104-A,Aeroflot,CCCP-L5442
Lockheed C-130A-II Hercules,Military - U.S. Air Force,56-0528
Vickers 621 Viking 1,Independent Air Travel,G-AIJE
Douglas C-124C Globemaster,Military - U.S. Air Force,52-1081A
Curtiss C-46A-CU,Loide Aereo Nacional,PP-LDX
Boeing B-52 / Boeing B-52,Military - U.S. Air Force / U.S. Air Force,56-661 / 56-681
Lockheed L-1049H Super Constellation,Flying Tiger Line,N6920C
Lockheed C-130A Hercules,Military - U.S. Air Force,56-0526
Avro 685 York I,Middle East Airlines,OD-ADB
Fairchild C-123 Provider,Military - U.S. Air Force,55-4521A
Lockheed 1049E Super Constellation,Linea Aeropostal Venezolana,YV-C-ANC
Douglas C-47A,TAM (Bolivia),TAM-03
Tupolev TU-104A,Aeroflot,CCCP-42362
Lockheed WV-2 Super Constellation,Military - U.S. Navy,Bu141294
Vickers Viscount 701C,British European Airways,G-ANHC
Vickers Viscount 755D,Cubana de Aviacion,CU-T603
Douglas C-47-DL,Yemen Airlines,YE-AAB
Douglas DC-3,TAM (Bolivia),TAM-05
Martin Mariner,ARTOP Aerotopografica LDA,CS-THB
Curtiss C-46F,Capitol Airways,N1301N
SNCASE Languedoc,Aviaco,EC-ANR
Bristol 175 Britannia 312,BOAC,
Douglas DC-6B,Union Aeromaritime de Transport,F-BGTZ
Saab Scandia,VASP,PP-SQE
Douglas DC-3,Ethiopian Airlines,ET-T-1
Douglas DC-3,Sahsa Airlines,XH-SAA
Douglas DC-3,Southeast Airlines,N18941
Lockheed 1049G Super Constellation,Lufthansa,D-ALAK
Curtiss C-46F,California Air Freight,N1240N
Curtiss C-46A-50-CU,Austral Lineas Aeras (Argentina),LV-GED
Curtiss C-46D-15-CU,Linea Expresa Bolivar,YV-C-LBI
Convair CV-240-2,Air Jordan,JY-ACB
Avro 688,Air Charter,G-AGRG
Douglas DC-3,General Airways,N17314
Beechcraft Bonanza 35,Dwyer Flying Service - Private Charter,N3794N
Lockheed  188A Electra,American Airlines,N6101A
Vickers Viscount 794D,Turkish Airlines (THY),TC-SEV
Curtiss C-46A,Southern Cross Airways,N68823
Douglas DC-4,Ariana Afghan Airlines,YA-BAG
Vickers Viscount 763,TACA,YS-09C
Douglas C-47A,Indian Airlines,VT-CYH
Bristol 170 Freighter 21E,Aviaco,EC-ADH
Nord 2501 Noratlas,Union Aeromaritime de Transport,F-BGZB
Douglas DC-3,Indian Airlines,VT-CGI
Curtiss C-46A,Riddle Airlines,N7840B
Curtiss C-46F-1-CU,Tigres Voladores,XA-MIS
Avro 688 Super Trader,Air Charter,G-AGRH
Douglas DC-3,Iberia Airlines,EC-ABC
Douglas DC-3,Austria-Flugdienst,OE-FDA
Lockheed C-69 Constellation,Capital Airlines,N2735A
Vickers Viscount 745D,Capital Airlines,N7463
Curtiss C-46A,Transportes Aereos Peruanas,OB-WBP-507
Douglas DC-3,Aerolineas Argentinas,LV-AFW
Curtiss C-46A-50-CU,Lineas A̩reas Interpolar,CC-CIA-497
Curtiss C-46,Aerolineas Nacionales,TI-1020
Douglas DC-4,AVIANCA,HK-135
Lockheed 1649A Starliner,Trans World Airlines,N7313C
North American F-100D-25NA,Military - U.S. Air Force,55-3633A
Douglas DC-3,Kalinga Airlines,VT-DGP
Vickers 815 Viscount,Pakistan International Airlines,AP-AJE
Boeing 707-123,American Airlines,N7514A
Douglas DC-3,Transair,G-AMZD
de Havilland DH-106 Comet 4,Aerolineas Argentinas,LV-AHP
Curtiss C-46A,Aaxico Airlines,N5140B
Douglas DC-3,Mexicana,
Douglas DC-4,Pan American World Airways,N88900
Saab Scandia 90A-1,VASP,PP-SQV
Douglas DC-7C,T.A. Intercontinentaux (France),F-BIAP
Douglas C-54B,Reeve Aleutian Airlines,N63396
Lockheed 188A Electra,Braniff Airlines,N9705C
Douglas C-47A-DL,PacifiAir Lines,N67589
Douglas DC-3,OlympiAirways,SX-BAD
Douglas DC-3,Piedmont Airlines,N55V
Douglas C-54A,Wheeler Airlines,CF-ILI
Douglas DC-7B,National Airlines,N4891C
Antonov AN-10,Aeroflot,CCCP-11167
Lockheed L-1049H Super Constellation,Trans World Airlines,N102R
Martin 202,Allegheny Airlines,N174A
Curtiss C-46A,Sociedad Aeronautica Medellin,HK-515
Ilyushin IL-18,Aeroflot,
Consolidated PBY-5A Catalina,California Aircraft,N64T
Vickers 785D Viscount,Alitalia,I-LIZT
Vickers Viscount 827 / Fokker AT-6,VASP,PP-SRG
Douglas C-47A,Garuda Indonesia Airlines,PK-GDV
Douglas DC-3,Lloyd Aereo Boliviano,CP-584
Douglas C-47A,Indian Airlines,VT-CGG
Douglas DC-6B,National Airlines,N8225H
de Havilland Canada U-1A Otter,Military - U.S. Army,55-2974
Vickers Viscount 745D,Capital Airlines,N7462
Sud Aviation Caravelle 1,Scandinavian Airlines (SAS),OY-KRB
Ilyushin IL-18B,Aeroflot,SSR-75687
Lockheed 1049E Super Constellation,AVIANCA,HK-177
de Havilland DH-114 Heron 2D,Transportes A̩reos de Timor,CR-TAI
Douglas DC-4,Lloyd Aereo Boliviano,CP-609
Douglas DC-3 / USN R-6D-1,REAL / Military - U.S. Navy,PP-AXD/131582
Douglas DC-7C,Alitalia,I-DUVO
Antonov AN-10,Aeroflot,CCCP-11180
Consolidated PBY-5A Catalina,Agencia Interamericana de Aviada,HK-1001E
Douglas DC-3,All Nippon Airways,JA-5018
Lockheed 188C Electra,Northwest Orient Airlines,N121US
Curtiss C-46,SAMSA,HK-516
Curtiss C-46A-40-CU,Lanica,AN-AIN
Douglas DC-3,Cruzeiro,PP-CDS
Douglas DC-4,Military - Royal Thai Air Force,
Douglas C-124C Globemaster,Military - U.S. Air Force,52-1062
Curtiss C-46,Lloyd Aereo Colombiano,HK-390
Fairchild F-27 / Cessna 310,Piedmont Airlines / Private,N2704R/N1807H
Douglas C-54B,Sobelair SA (Belgium),OO-SBL
Douglas DC-3,Linea Aeropostal Venezolana,YV-C-AFE
Douglas DC-4-1009,Balair,HB-ILA
Douglas DC-6,Aerolineas Argentinas,LV-ADS
Curtiss C-46,Transamerican Air Transport,LV-GGJ
Convair CV-880,Delta Air Lines,N8804E
Fokker F-27 Friendship 100,Trans Australia Airlines,VH-TFB
Lockheed 749A-79-32 Constellation,PacifiNorthern Airlines,N1554V
Convair CV-340-62,REAL,PP-YRB
Goodyear ZPG-3W (airship),Military - U.S. Navy,144242
Douglas DC-3,Gulf Aviation (Kalinga Airways),VT-DGS
Douglas C-47B-DK,Military - U.S. Air Force,45-1109A
Douglas DC-7C,Northwest Orient Airlines,N292
Douglas DC-3,Ethiopian Airlines,ET-T-18
Fairchild C-119G,Military - Royal Belgian Air Force,CP-36
Sikorsky S-58C helicopter,Chicago Helicopter Airways,N879
Convair CV-240-4,Deutsche Flugdienst,D-BELU
Douglas C-47,TAM (Bolivia),TAM-09
Ilyushin IL-18,Aeroflot,CCCP 75705
Avro Lancaster 1,Military - French Naval Aviation,WU-26
Vickers 634 Viking 1B,Don Everall Aviation,G-AMNK
Lockheed 1049G Super Constellation,Air France,F-BHBC
Douglas DC-6AB,World Airways,N90779
Douglas R5D-3,Military - U.S. Marine Corps,56541
Vickers Viscount 837,Austrian Airlines,OE-LAF
Douglas DC-3 (C-53-DO),Mexicana,XA-HUS
Vickers Viscount 739B,United Arab Airlines,SU-AKW
Lockheed 188A Electra,Eastern Air Lines,N5533
de Havilland DH-114 Heron 2,Itavia,I-AOMA
Curtiss C-46F,Capitol Airways,N1300N
Tupolev Tu-104A,Aeroflot,CCCP-42452
Douglas C-54A-DC,Northwest Orient Airlines,N48762
Curtiss C-46F-1-CU,ArctiPacific,N1244N
Douglas C-47A,Royal Nepal Airlines,9N-AAD
Fairchild F-27A,AREA,HC-ADV
Douglas DC-3,Philippine Air Lines,PI-C133
Curtiss C-46A-60-CK,REAL,PP-AKF
Avro 691 Lancastrian IV,Military - Argentine Air Force,T-102
Douglas DC-3,LAN,CC-CLD-P210
Lockheed 1649A Starliner,Air France,F-BHBM
