index;cn/In
1582;30514
1583;33411
1584;55
1585;1255
1586;1924
1587;D- 1019
1588;1015
1589;429
1590;26818
1591;18367
1592;82
1593;12493
1594;12776
1595;2
1596;20176
1597;30242
1598;22586
1599;1256
1600;19334
1601;12210
1602;1978
1603;287
1604;26829
1605;19790
1606;30482
1607;
1608;10418
1609;1015
1610;
1611;9549
1612;337
1613;17641/36
1614;16112/3286
1615;6411
1616;26809
1617;
1618;10504
1619;106
1620;45366/892
1621;10486
1622;1090
1623;19656
1624;9491
1625;20447
1626;10360
1627;45355
1628;9401402
1629;4824
1630;9159
1631;26941
1632;
1633;
1634;378
1635;401
1636;13535
1637;19226
1638;12821
1639;43742/300
1640;47
1641;217
1642;014/14
1643;189001202
1644;4556
1645;14132
1646;10510
1647;13326 / 43685-307
1648;45231/945
1649;
1650;
1651;6006
1652;1057
1653;2927/384
1654;26945
1655;4823
1656;
1657;43971
1658;32954
1659;17
1660;3099
1661;15353/26798
1662;43072
1663;43031/127
1664;22554
1665;22-00-16
1666;10112
1667;2555
1668;191
1669;
1670;4273
1671;34379
1672;45462/925
1673;12926
1674;
1675;58420
1676;78
1677;9030
1678;189001702
1679;
1680;210
1681;4622
1682;44914/646
1683;
1684;437
1685;7388
1686;427
1687;1062
1688;14090
1689;22481
1690;96601701
1691;10320
1692;22458
1693;19792
1694;0001A
1695;
1696;295
1697;
1698;9716
1699;1027
1700;43508
1701;45290 /4021
1702;212
1703;20593
1704;105807110
1705;14066/25511
1706;45432/105
1707;4467
1708;19672
1709;43670
1710;17629/8
1711;13052
1712;17624/92
1713;19986
1714;4473
1715;180002102
1716;
1717;45615
1718;2019
1719;10530
1720;193
1721;
1722;45307
1723;181002904
1724;43136
1725;45243/919
1726;20492
1727;152
1728;22465
1729;
1730;2035
1731;13305
1732;4960
1733;12514
1734;44058/365
1735;68
1736;43559
1737;1142
1738;10182
1739;16171/32919
1740;
1741;13260
1742;44872
1743;1976
1744;2615
1745;6430
1746;
1747;46
1748;18058/202
1749;10951/ 11082
1750;
1751;6456
1752;1020
1753;33579
1754;
1755;7331
1756;12
1757;19653
1758;17633/12
1759;45160/754
1760;16189/32937
1761;83
1762;44254/456
1763;3047
1764;4804
1765;4817
1766;
1767;
1768;
1769;12075
1770;443
1771;12180
1772;
1773;25
1774;
1775;
1776;3154
