Type
Wright Flyer III
Dirigible
Douglas C-47 / Douglas DC-3
Douglas C- C47A-30DK
Douglas DC-3C
Douglas C-54B-15-DO
Curtiss C-46E
Savoia-Marchetti SM-95
Avro York C1
Douglas DC-3 (C-47DL) /Vultee BT-13
Douglas C-54B
Douglas DC-4 (C-54-DO)
Lockheed 049-46-21 Constellation
Avro 685 York
Avro 691 Lancastrian 3
Consolidated PBY-5A Catalina
Douglas DC-3F
Short Sandringham 5 (flying boat)
Short Sandringham (flying boat)
Bristol 170 Freighter I
Douglas DC-6
Douglas DC-4A
Bristol 170 Freighter XI
Lockheed L-049-46-26 Constellation
Douglas C-47-DK
Short  S-29 Stirling V
Douglas DC-3 (C-47)
Douglas DC-2-172
Douglas DC-3D
Vickers 610 Viking 1B
Douglas DC-3-201F
Douglas DC-3 (C-47B-DK)
Avro 688 Tudor I
Lockheed L-649 Constellation
Latecoere 631
Douglas DC-4 (C-54G-1-DO)
Douglas DC-3 (C47-DL)
Vickers 604 Viking 1B
Vickers Viking 1B & Soviet YAK-3 fighter
Lockheed L-049-46 Constellation
de Havilland Dove 1
Douglas DC-3-455
Handley Page Halifax C-8
de Havilland DH-89A Dragon Rapide
Fiat G.212CP
Douglas DC-6 / RAF York MW248
Consolidated OA-10 Catalina
Short Sandringham 2 (flying boat)
Curtiss C-46D-20-CU
Latecoere 631 (flying boat)
Avro 691 Lancastrian
Martin 202
Douglas DC-3 (Douglas C-47A-10-DK)
Short Sandringham 6 (flying boat)
Lockheed 049-46-25 Constellation
Lockheed 10A Electra
Boeing B-29 Superfortress
Douglas C-54B-5-DO
Douglas DC-3 (C-47-DL)
Douglas DC-3 (C-47A-DL)
Douglas C-54 Skymaster
Avro 688 Tudor 4B
Boeing B-29A Superfortress
Lockheed L-749 / Cessna 140
Douglas C-54A-1-DO Skymaster
Vickers 628 Viking 1B
Douglas DC-3 / Avro Anson
FIAT G-212CP
Curtiss C-46D-5-CU
Lockheed 749-79-33 Constellation
Douglas C-47A-20-DL
Lockheed L-749-79-33 Constellation
Curtiss C-46E-1-CS
Curtiss C-46F-1-CU
Douglas DC-3 -201D/ F-6-F- 5 Hellcat
Bristol 170 Freighter 21
Douglas DC-3 (C-54A-DO)
Consolidated Canso (amphibian)
Douglas C-54A-1-DO
Douglas C-54B / P-38
Curtiss C-46D-CU
Douglas DC-3-313A
Douglas C-54A-DO
Douglas C-47A-50-DL
Douglas C-47A-15-DK
Avro 689 Tudor 5
Latecoere 631 (sea plane)
Douglas C-47 (DC-3)
Douglas C-54D
Douglas C-47DL
Boeing B-29
Curtiss C-46-F-1-CU
Douglas DC-3-178
Douglas C-47D
Lockheed 049 Constellation
Boeing B-29MR
Lockheed 749A Constellation
Douglas R5D-3
Avro Ninteen I
Vickers 610 Viking-1B
Lockheed 749 Constellation
Douglas C-54B-1-DC
Douglas C54E-DO (DC-4)
Savoia Marchetti SM-95
Short Sunderland 9 (flying boat)
Douglas C-124A Globemaster
Lockheed C-130B Hercules
Douglas DC-4 /Beechcraft SMB-1
Convair B-36D
Vickers 639 Viking 1
Fairchild C-82
Junkers 52/3m
Douglas DC-6B
Fairchild C-82 Packet
Vickers Valetta C-1
de Havilland DHA-3 Drover II
Boeing 377 Stratocruiser 10-34
Douglas C-47A-30-DK Dakota III
Curtiss C-46D-15-CU
Boeing C-97A Stratofreighter
DC-2-243
Curtiss Wright C-46F
SNCASE Languedoc
Curtiss C-46A-50-CU
Curtiss C 46F-CU
Convair CV-240-0
Douglas C-54B-10-DO
Vickers 614 Viking 1
Consolidated  32 Liberator II
Douglas C-47A-35-DL
Boeing B-29 / Boeing B-29
Curtiss C-46F-1CU
Boeing 377-10-26 Stratocruiser
Handley Page HP-81 Hermes IV
Boeing B-50
Avro Shackleton MR-1
Boeing 377 Stratocruiser
Handley Page HP-81 Hermes 4A
Bristol 170 Freighter
de Havilland 110
Boeing KC-97G Stratofreighter
Fairchild C-119C
Fairchild C-119C-23-FA Flying Boxcar
Douglas C-54G (DC-4)
Vickers Viking 610-1B
Cessna 402
Vickers Valetta Mk1 / Avero Lancaster
Curtiss-Wright C-46
de Havilland DH106 Comet 1A
Curtiss C-46F
Convair CV-240-7
Convair RB-36H
Douglas DC-4  (C-54-10-DO)
de Havilland DH-114 Heron 1B
